-1	-1.1	1
-0.8	-0.4	0.0436444
0.8	-0.2	-0.991383
-1.0	0.8	-0.8
0.8	-0.4	-0.902331
0.2	0.8	-0.0777026
0.4	-1.0	-0.734988
-0.4	0.2	-0.541779
0.2	0.4	-0.579385
-0.0	-0.2	-0.932039
0.2	-0.0	-0.932039
-0.0	0.8	-0.198669
-0.0	-0.4	-0.98545
-1.0	0.2	-0.2
-0.4	0.8	-0.439712
-0.0	-0.8	-0.973848
-0.2	0.6	-0.434567
0.2	-1.0	-0.875463
-0.8	0.6	-0.559915
0.4	0.6	-0.291186
0.6	-0.8	-0.738619
-0.6	-0.0	-0.389418
0.4	-0.2	-1.07404
-0.6	-0.8	-0.179385
0.2	-0.6	-1.05965
-0.8	0.8	-0.679989
-0.0	-1.0	-0.909297
-0.4	-0.2	-0.579385
-0.6	0.4	-0.477703
-0.8	-0.6	0.165433
-0.0	0.4	-0.564642
0.8	-0.6	-0.738619
0.6	-0.0	-0.999574
-0.2	-1.0	-0.799574
-1.0	-0.0	0.0
-0.2	-0.4	-0.8201
-0.6	-0.6	-0.237195
-0.8	-0.8	0.287726
0.4	0.4	-0.584643
0.6	0.4	-0.579192
0.4	-0.4	-1.08521
0.8	0.4	-0.561958
-0.4	0.4	-0.512274
-1.0	-0.6	0.6
-0.0	-0.6	-0.999574
0.8	0.2	-0.831458
0.2	0.2	-0.779192
0.6	-1.0	-0.541626
-0.0	0.2	-0.717356
-0.6	-0.2	-0.341779
-0.2	-0.6	-0.838016
0.4	-0.6	-1.02432
-0.8	0.4	-0.439712
-1.0	-0.4	0.4
0.8	0.8	0.287726
0.4	0.8	0.0436444
0.2	-0.8	-0.991383
-1.0	0.6	-0.6
0.8	-0.8	-0.541751
-0.6	-0.4	-0.291186
-1.0	0.4	-0.4
0.6	0.2	-0.838016
-0.2	0.4	-0.541779
-0.2	0.2	-0.637195
-0.6	0.2	-0.434567
-0.0	-0.0	-0.841471
-0.6	0.8	-0.559915
-0.4	-0.8	-0.561958
-0.8	-0.2	-0.0777026
0.8	-0.0	-0.973848
-0.4	-0.6	-0.579192
-0.2	-0.8	-0.831458
0.4	-0.0	-0.98545
0.2	-0.2	-1.03146
-0.8	0.2	-0.319318
-0.8	-0.0	-0.198669
-0.4	0.6	-0.477703
-0.8	-1.0	0.410582
0.6	-0.4	-1.02432
-0.6	-1.0	-0.117356
